id,word,difficulty_value,locale,created_at
62,belt,56,en,2026-01-09 17:39:18.90271+00
63,tie,45,en,2026-01-09 17:39:21.444783+00
64,scarf,61,en,2026-01-09 17:39:23.39569+00
65,glove,62,en,2026-01-09 17:39:25.444563+00
66,boot,45,en,2026-01-09 17:39:27.637709+00
67,bag,61,en,2026-01-09 17:39:29.50368+00
68,pen,53,en,2026-01-09 17:39:31.732867+00
69,paper,52,en,2026-01-09 17:39:33.749535+00
70,tape,52,en,2026-01-09 17:39:35.699328+00
71,glue,61,en,2026-01-09 17:39:37.792245+00
72,rope,55,en,2026-01-09 17:39:39.7107+00
73,wire,55,en,2026-01-09 17:39:41.654567+00
74,nail,54,en,2026-01-09 17:39:43.478739+00
75,screw,60,en,2026-01-09 17:39:45.326909+00
76,bolt,58,en,2026-01-09 17:39:47.393439+00
77,saw,55,en,2026-01-09 17:39:49.709401+00
78,axe,54,en,2026-01-09 17:39:51.697624+00
79,rake,55,en,2026-01-09 17:39:54.051332+00
80,hose,51,en,2026-01-09 17:39:56.051437+00
81,lock,64,en,2026-01-09 17:39:58.187861+00
82,key,60,en,2026-01-09 17:40:00.277163+00
83,coin,56,en,2026-01-09 17:40:02.37404+00
84,bill,53,en,2026-01-09 17:40:04.237827+00
85,card,58,en,2026-01-09 17:40:06.242323+00
86,stamp,60,en,2026-01-09 17:40:08.231568+00
87,can,54,en,2026-01-09 17:40:10.41494+00
88,jar,58,en,2026-01-09 17:40:12.353517+00
89,bottle,51,en,2026-01-09 17:40:14.456449+00
90,bucket,66,en,2026-01-09 17:40:16.384649+00
91,basket,60,en,2026-01-09 17:40:18.604107+00
92,tray,55,en,2026-01-09 17:40:20.54308+00
94,vase,55,en,2026-01-09 17:40:24.785003+00
95,frame,59,en,2026-01-09 17:40:26.932184+00
96,mirror,48,en,2026-01-09 17:40:28.856464+00
97,rug,62,en,2026-01-09 17:40:31.031498+00
98,mat,52,en,2026-01-09 17:40:33.026736+00
99,tile,51,en,2026-01-09 17:40:35.186939+00
100,brick,66,en,2026-01-09 17:40:37.654596+00
101,stone,51,en,2026-01-09 17:40:39.614436+00
102,sand,55,en,2026-01-09 17:40:41.786524+00
103,clay,62,en,2026-01-09 17:40:43.53522+00
104,soil,55,en,2026-01-09 17:40:45.347704+00
105,seed,40,en,2026-01-09 17:40:47.143062+00
106,leaf,56,en,2026-01-09 17:40:49.06905+00
107,root,41,en,2026-01-09 17:40:50.998466+00
108,stem,53,en,2026-01-09 17:40:53.291145+00
109,bud,65,en,2026-01-09 17:40:55.365134+00
110,thorn,54,en,2026-01-09 17:40:57.514864+00
111,bark,63,en,2026-01-09 17:40:59.300308+00
112,pine,55,en,2026-01-09 17:41:01.266916+00
113,oak,56,en,2026-01-09 17:41:03.332216+00
114,palm,63,en,2026-01-09 17:41:05.295954+00
115,rose,51,en,2026-01-09 17:41:07.372789+00
116,tulip,62,en,2026-01-09 17:41:09.354567+00
117,daisy,60,en,2026-01-09 17:41:11.285137+00
118,lily,52,en,2026-01-09 17:41:13.219791+00
119,ivy,63,en,2026-01-09 17:41:15.184465+00
120,fern,55,en,2026-01-09 17:41:17.251107+00
121,moss,47,en,2026-01-09 17:41:19.048783+00
122,weed,44,en,2026-01-09 17:41:20.823615+00
123,herb,56,en,2026-01-09 17:41:22.594301+00
124,mint,55,en,2026-01-09 17:41:24.4116+00
125,basil,60,en,2026-01-09 17:41:26.283899+00
126,sage,54,en,2026-01-09 17:41:28.498596+00
127,dill,50,en,2026-01-09 17:41:30.507906+00
128,bay,61,en,2026-01-09 17:41:32.41172+00
129,rice,55,en,2026-01-09 17:41:34.33112+00
130,wheat,54,en,2026-01-09 17:41:36.253102+00
131,corn,57,en,2026-01-09 17:41:38.08663+00
132,oat,46,en,2026-01-09 17:41:39.904757+00
133,bean,54,en,2026-01-09 17:41:41.968931+00
134,pea,52,en,2026-01-09 17:41:43.986685+00
135,lemon,58,en,2026-01-09 17:41:45.843189+00
136,lime,57,en,2026-01-09 17:41:47.694958+00
137,plum,67,en,2026-01-09 17:41:49.860702+00
138,pear,54,en,2026-01-09 17:41:51.733437+00
139,kiwi,52,en,2026-01-09 17:41:53.633362+00
140,melon,58,en,2026-01-09 17:41:55.653095+00
141,berry,53,en,2026-01-09 17:41:57.674898+00
142,fig,62,en,2026-01-09 17:41:59.786469+00
143,date,49,en,2026-01-09 17:42:02.247927+00
144,nut,53,en,2026-01-09 17:42:04.452512+00
145,meat,51,en,2026-01-09 17:42:06.998847+00
146,beef,46,en,2026-01-09 17:42:08.92147+00
147,pork,63,en,2026-01-09 17:42:11.08319+00
148,lamb,63,en,2026-01-09 17:42:13.171208+00
149,ham,56,en,2026-01-09 17:42:15.295168+00
150,bacon,60,en,2026-01-09 17:42:17.139385+00
152,tuna,54,en,2026-01-09 17:42:21.49462+00
153,cod,58,en,2026-01-09 17:42:23.41648+00
154,trout,47,en,2026-01-09 17:42:25.371179+00
155,crab,61,en,2026-01-09 17:42:27.331939+00
156,clam,62,en,2026-01-09 17:42:29.445041+00
157,oyster,57,en,2026-01-09 17:42:31.45082+00
158,shrimp,64,en,2026-01-09 17:42:33.6073+00
159,squid,65,en,2026-01-09 17:42:35.556079+00
160,eel,34,en,2026-01-09 17:42:37.415665+00
161,seal,52,en,2026-01-09 17:42:39.404261+00
162,otter,42,en,2026-01-09 17:42:41.374564+00
163,beaver,53,en,2026-01-09 17:42:43.538791+00
164,moose,48,en,2026-01-09 17:42:45.576288+00
165,deer,41,en,2026-01-09 17:42:47.455541+00
166,elk,58,en,2026-01-09 17:42:49.635391+00
167,goat,54,en,2026-01-09 17:42:51.829622+00
168,sheep,47,en,2026-01-09 17:42:55.129796+00
169,pig,62,en,2026-01-09 17:42:57.216935+00
170,horse,54,en,2026-01-09 17:42:59.196677+00
171,donkey,63,en,2026-01-09 17:43:01.085807+00
172,mule,60,en,2026-01-09 17:43:03.242437+00
173,camel,60,en,2026-01-09 17:43:05.753602+00
174,llama,44,en,2026-01-09 17:43:07.631181+00
175,fox,63,en,2026-01-09 17:43:09.628877+00
176,wolf,63,en,2026-01-09 17:43:11.435846+00
177,coyote,52,en,2026-01-09 17:43:13.730393+00
178,bat,53,en,2026-01-09 17:43:15.658251+00
179,rat,48,en,2026-01-09 17:43:18.077535+00
180,mouse,59,en,2026-01-09 17:43:20.310051+00
181,rabbit,55,en,2026-01-09 17:43:22.233776+00
182,snake,57,en,2026-01-09 17:43:24.236187+00
183,lizard,64,en,2026-01-09 17:43:26.179398+00
184,turtle,51,en,2026-01-09 17:43:28.206404+00
185,newt,52,en,2026-01-09 17:43:30.324822+00
186,tick,60,en,2026-01-09 17:43:32.993791+00
187,mite,52,en,2026-01-09 17:43:35.1053+00
188,worm,61,en,2026-01-09 17:43:37.337157+00
189,snail,57,en,2026-01-09 17:43:39.104608+00
190,slug,64,en,2026-01-09 17:43:40.968934+00
191,leech,48,en,2026-01-09 17:43:42.963748+00
192,piano,57,en,2026-01-09 17:43:44.817137+00
193,guitar,61,en,2026-01-09 17:43:46.573993+00
194,violin,55,en,2026-01-09 17:43:48.562973+00
195,drums,64,en,2026-01-09 17:43:50.581917+00
196,flute,59,en,2026-01-09 17:43:52.452757+00
197,trumpet,57,en,2026-01-09 17:43:54.530777+00
198,cello,51,en,2026-01-09 17:43:56.53178+00
199,harp,58,en,2026-01-09 17:43:58.607909+00
200,elephant,56,en,2026-01-09 17:44:00.841353+00
201,giraffe,59,en,2026-01-09 17:44:03.375585+00
202,penguin,59,en,2026-01-09 17:44:06.332896+00
203,dolphin,65,en,2026-01-09 17:44:08.560047+00
204,kangaroo,55,en,2026-01-09 17:44:10.767484+00
205,cheetah,46,en,2026-01-09 17:44:12.529781+00
206,octopus,59,en,2026-01-09 17:44:14.618459+00
207,butterfly,65,en,2026-01-09 17:44:16.327761+00
208,eagle,47,en,2026-01-09 17:44:18.177452+00
209,tiger,55,en,2026-01-09 17:44:19.929709+00
210,zebra,61,en,2026-01-09 17:44:21.802574+00
211,peacock,61,en,2026-01-09 17:44:24.2143+00
212,koala,51,en,2026-01-09 17:44:26.317668+00
213,panda,51,en,2026-01-09 17:44:28.588478+00
214,whale,58,en,2026-01-09 17:44:30.874445+00
215,apple,53,en,2026-01-09 17:44:33.280503+00
216,banana,38,en,2026-01-09 17:44:35.204864+00
217,orange,58,en,2026-01-09 17:44:37.6797+00
218,mango,60,en,2026-01-09 17:44:40.028013+00
219,grape,59,en,2026-01-09 17:44:42.424485+00
220,cherry,55,en,2026-01-09 17:44:44.39909+00
221,peach,59,en,2026-01-09 17:44:46.875664+00
222,carrot,51,en,2026-01-09 17:44:48.822271+00
223,broccoli,58,en,2026-01-09 17:44:50.959156+00
224,potato,43,en,2026-01-09 17:44:52.853998+00
225,tomato,42,en,2026-01-09 17:44:54.689347+00
226,lettuce,48,en,2026-01-09 17:44:56.745998+00
227,cucumber,62,en,2026-01-09 17:44:58.705596+00
228,pepper,43,en,2026-01-09 17:45:00.858459+00
229,onion,38,en,2026-01-09 17:45:02.843011+00
230,spinach,64,en,2026-01-09 17:45:05.107836+00
231,doctor,53,en,2026-01-09 17:45:07.136211+00
232,teacher,52,en,2026-01-09 17:45:08.919133+00
233,engineer,45,en,2026-01-09 17:45:10.732134+00
234,chef,59,en,2026-01-09 17:45:12.545602+00
235,pilot,59,en,2026-01-09 17:45:14.48094+00
236,artist,48,en,2026-01-09 17:45:16.492395+00
237,nurse,57,en,2026-01-09 17:45:18.264523+00
238,police,62,en,2026-01-09 17:45:20.592442+00
239,farmer,54,en,2026-01-09 17:45:22.32093+00
240,lawyer,62,en,2026-01-09 17:45:24.051651+00
241,dentist,51,en,2026-01-09 17:45:25.748193+00
242,writer,51,en,2026-01-09 17:45:27.58849+00
243,singer,59,en,2026-01-09 17:45:29.468901+00
244,dancer,59,en,2026-01-09 17:45:31.318125+00
245,musician,62,en,2026-01-09 17:45:33.290669+00
246,baker,61,en,2026-01-09 17:45:35.072726+00
247,mechanic,60,en,2026-01-09 17:45:36.806951+00
248,plumber,69,en,2026-01-09 17:45:38.72071+00
249,painter,59,en,2026-01-09 17:45:40.461344+00
250,gardener,52,en,2026-01-09 17:45:42.23799+00
251,scientist,49,en,2026-01-09 17:45:44.086194+00
252,librarian,53,en,2026-01-09 17:45:46.064241+00
253,carpenter,55,en,2026-01-09 17:45:48.091643+00
254,architect,55,en,2026-01-09 17:45:50.019265+00
255,journalist,69,en,2026-01-09 17:45:51.899005+00
256,accountant,51,en,2026-01-09 17:45:53.799233+00
257,secretary,55,en,2026-01-09 17:45:55.872589+00
258,manager,56,en,2026-01-09 17:45:57.629395+00
259,salesperson,57,en,2026-01-09 17:45:59.457634+00
260,cashier,60,en,2026-01-09 17:46:01.245727+00
261,waiter,56,en,2026-01-09 17:46:03.281995+00
262,bartender,55,en,2026-01-09 17:46:05.425698+00
263,barber,49,en,2026-01-09 17:46:07.859163+00
264,tailor,57,en,2026-01-09 17:46:09.830971+00
265,soldier,61,en,2026-01-09 17:46:11.74122+00
266,firefighter,56,en,2026-01-09 17:46:13.757111+00
267,paramedic,63,en,2026-01-09 17:46:15.586384+00
268,programmer,59,en,2026-01-09 17:46:17.521716+00
269,translator,53,en,2026-01-09 17:46:19.664161+00
270,pharmacist,65,en,2026-01-09 17:46:21.452163+00
271,athlete,44,en,2026-01-09 17:46:23.273134+00
272,coach,52,en,2026-01-09 17:46:25.802494+00
273,referee,33,en,2026-01-09 17:46:27.638336+00
274,captain,56,en,2026-01-09 17:46:29.361128+00
275,detective,50,en,2026-01-09 17:46:31.161974+00
276,guard,63,en,2026-01-09 17:46:32.960324+00
277,judge,66,en,2026-01-09 17:46:34.69176+00
278,mayor,61,en,2026-01-09 17:46:36.439609+00
279,minister,57,en,2026-01-09 17:46:38.332758+00
280,professor,53,en,2026-01-09 17:46:40.076101+00
281,counselor,62,en,2026-01-09 17:46:42.041822+00
282,director,57,en,2026-01-09 17:46:44.1085+00
283,producer,62,en,2026-01-09 17:46:45.844609+00
284,editor,56,en,2026-01-09 17:46:47.863691+00
285,designer,58,en,2026-01-09 17:46:49.706009+00
286,instructor,59,en,2026-01-09 17:46:51.652663+00
287,consultant,59,en,2026-01-09 17:46:53.501125+00
288,researcher,49,en,2026-01-09 17:46:55.680192+00
289,analyst,55,en,2026-01-09 17:46:57.427659+00
290,technician,54,en,2026-01-09 17:46:59.702403+00
291,inspector,65,en,2026-01-09 17:47:01.985161+00
292,operator,51,en,2026-01-09 17:47:04.247329+00
293,assistant,44,en,2026-01-09 17:47:06.046963+00
294,specialist,60,en,2026-01-09 17:47:07.893057+00
295,supervisor,62,en,2026-01-09 17:47:09.830336+00
296,executive,58,en,2026-01-09 17:47:11.727148+00
297,mountain,58,en,2026-01-09 17:47:13.906398+00
298,ocean,55,en,2026-01-09 17:47:15.668316+00
299,river,50,en,2026-01-09 17:47:17.450915+00
300,forest,57,en,2026-01-09 17:47:19.460726+00
301,desert,48,en,2026-01-09 17:47:21.235429+00
302,island,60,en,2026-01-09 17:47:23.127339+00
303,beach,59,en,2026-01-09 17:47:24.904389+00
304,lake,57,en,2026-01-09 17:47:26.900636+00
305,valley,58,en,2026-01-09 17:47:28.86112+00
306,hill,49,en,2026-01-09 17:47:30.673891+00
307,cave,58,en,2026-01-09 17:47:32.811452+00
308,volcano,59,en,2026-01-09 17:47:35.058769+00
309,glacier,63,en,2026-01-09 17:47:37.384129+00
310,canyon,55,en,2026-01-09 17:47:39.273295+00
311,plain,60,en,2026-01-09 17:47:41.088235+00
312,meadow,61,en,2026-01-09 17:47:42.814515+00
313,swamp,64,en,2026-01-09 17:47:44.608464+00
314,jungle,66,en,2026-01-09 17:47:46.453631+00
315,tundra,60,en,2026-01-09 17:47:48.223341+00
316,prairie,49,en,2026-01-09 17:47:50.408555+00
317,cliff,58,en,2026-01-09 17:47:52.99833+00
318,reef,42,en,2026-01-09 17:47:54.840555+00
319,spring,64,en,2026-01-09 17:47:56.756217+00
320,marsh,59,en,2026-01-09 17:47:58.854273+00
321,football,56,en,2026-01-09 17:48:00.855169+00
322,basketball,59,en,2026-01-09 17:48:03.160307+00
323,baseball,51,en,2026-01-09 17:48:05.251617+00
324,soccer,54,en,2026-01-09 17:48:07.283724+00
325,tennis,48,en,2026-01-09 17:48:09.456531+00
326,volleyball,61,en,2026-01-09 17:48:11.238814+00
327,hockey,64,en,2026-01-09 17:48:13.247172+00
328,golf,63,en,2026-01-09 17:48:15.284667+00
329,swimming,60,en,2026-01-09 17:48:17.250387+00
330,boxing,67,en,2026-01-09 17:48:19.211197+00
331,wrestling,67,en,2026-01-09 17:48:21.048878+00
332,running,53,en,2026-01-09 17:48:23.249516+00
333,cycling,64,en,2026-01-09 17:48:25.100458+00
334,skiing,57,en,2026-01-09 17:48:27.175636+00
335,skating,63,en,2026-01-09 17:48:29.242221+00
336,surfing,67,en,2026-01-09 17:48:31.242527+00
337,climbing,66,en,2026-01-09 17:48:33.30056+00
338,archery,57,en,2026-01-09 17:48:35.20678+00
339,bowling,68,en,2026-01-09 17:48:37.14267+00
340,fishing,59,en,2026-01-09 17:48:38.87635+00
341,hunting,57,en,2026-01-09 17:48:40.735932+00
342,sailing,57,en,2026-01-09 17:48:42.750518+00
343,diving,58,en,2026-01-09 17:48:44.663127+00
344,jogging,58,en,2026-01-09 17:48:46.55873+00
345,hiking,57,en,2026-01-09 17:48:48.698167+00
346,camping,68,en,2026-01-09 17:48:51.350506+00
347,kayaking,60,en,2026-01-09 17:48:53.261274+00
348,yoga,60,en,2026-01-09 17:48:55.444438+00
349,aerobics,64,en,2026-01-09 17:48:57.399166+00
350,martial,55,en,2026-01-09 17:48:59.348232+00
351,dancing,59,en,2026-01-09 17:49:01.391969+00
352,racing,62,en,2026-01-09 17:49:03.458298+00
353,jumping,72,en,2026-01-09 17:49:05.352456+00
354,throwing,65,en,2026-01-09 17:49:07.239904+00
355,computer,67,en,2026-01-09 17:49:09.270952+00
356,telephone,53,en,2026-01-09 17:49:11.3188+00
357,television,58,en,2026-01-09 17:49:13.365403+00
358,camera,53,en,2026-01-09 17:49:15.340388+00
359,microwave,69,en,2026-01-09 17:49:17.414732+00
360,vacuum,63,en,2026-01-09 17:49:19.563342+00
361,toaster,50,en,2026-01-09 17:49:21.359037+00
362,blender,56,en,2026-01-09 17:49:23.331585+00
363,iron,53,en,2026-01-09 17:49:25.212591+00
364,heater,46,en,2026-01-09 17:49:27.216101+00
365,speaker,56,en,2026-01-09 17:49:29.2607+00
366,printer,54,en,2026-01-09 17:49:31.135541+00
367,scanner,54,en,2026-01-09 17:49:32.937987+00
368,router,50,en,2026-01-09 17:49:35.255245+00
369,tablet,50,en,2026-01-09 17:49:37.098818+00
370,watch,59,en,2026-01-09 17:49:38.903871+00
371,compass,60,en,2026-01-09 17:49:41.011306+00
372,microscope,63,en,2026-01-09 17:49:42.838355+00
373,telescope,55,en,2026-01-09 17:49:44.872466+00
374,flashlight,62,en,2026-01-09 17:49:46.919203+00
375,battery,55,en,2026-01-09 17:49:48.95454+00
376,charger,57,en,2026-01-09 17:49:50.841076+00
377,remote,48,en,2026-01-09 17:49:52.820557+00
378,keyboard,68,en,2026-01-09 17:49:54.631827+00
380,monitor,55,en,2026-01-09 17:49:58.81147+00
381,projector,59,en,2026-01-09 17:50:00.726387+00
382,microphone,65,en,2026-01-09 17:50:02.409513+00
383,airplane,58,en,2026-01-09 17:50:04.371635+00
384,train,53,en,2026-01-09 17:50:06.261689+00
385,subway,68,en,2026-01-09 17:50:08.114933+00
386,bicycle,63,en,2026-01-09 17:50:09.903063+00
387,scooter,53,en,2026-01-09 17:50:11.76574+00
388,ship,58,en,2026-01-09 17:50:13.614528+00
389,submarine,68,en,2026-01-09 17:50:15.425539+00
390,yacht,59,en,2026-01-09 17:50:17.323628+00
391,canoe,55,en,2026-01-09 17:50:19.116182+00
392,ferry,53,en,2026-01-09 17:50:20.875831+00
393,taxi,56,en,2026-01-09 17:50:22.771028+00
394,truck,64,en,2026-01-09 17:50:25.178518+00
395,tractor,48,en,2026-01-09 17:50:27.373371+00
396,crane,56,en,2026-01-09 17:50:29.340234+00
397,forklift,63,en,2026-01-09 17:50:31.358294+00
398,tanker,57,en,2026-01-09 17:50:33.184982+00
399,trailer,52,en,2026-01-09 17:50:34.868298+00
400,caravan,51,en,2026-01-09 17:50:37.285377+00
401,buggy,64,en,2026-01-09 17:50:39.569863+00
402,cart,54,en,2026-01-09 17:50:41.778741+00
403,wagon,60,en,2026-01-09 17:50:44.059808+00
404,sleigh,61,en,2026-01-09 17:50:46.074216+00
405,rocket,60,en,2026-01-09 17:50:48.10696+00
406,satellite,48,en,2026-01-09 17:50:50.121988+00
407,shuttle,54,en,2026-01-09 17:50:51.988236+00
408,eraser,41,en,2026-01-09 17:50:53.980185+00
409,pencil,62,en,2026-01-09 17:50:56.138353+00
410,crayon,62,en,2026-01-09 17:50:58.298252+00
411,marker,55,en,2026-01-09 17:51:00.301391+00
412,palette,46,en,2026-01-09 17:51:02.632431+00
413,canvas,55,en,2026-01-09 17:51:04.427976+00
414,easel,44,en,2026-01-09 17:51:06.41517+00
415,pottery,55,en,2026-01-09 17:51:08.245803+00
416,jewelry,60,en,2026-01-09 17:51:10.010297+00
417,necklace,56,en,2026-01-09 17:51:12.110117+00
418,bracelet,58,en,2026-01-09 17:51:14.478615+00
419,earring,55,en,2026-01-09 17:51:16.896899+00
420,ring,58,en,2026-01-09 17:51:19.137533+00
421,brooch,56,en,2026-01-09 17:51:21.502916+00
422,pendant,54,en,2026-01-09 17:51:23.635837+00
423,crown,61,en,2026-01-09 17:51:25.990143+00
424,tiara,44,en,2026-01-09 17:51:27.998211+00
425,medal,59,en,2026-01-09 17:51:30.041161+00
426,trophy,62,en,2026-01-09 17:51:32.026052+00
427,diploma,66,en,2026-01-09 17:51:34.435921+00
428,license,54,en,2026-01-09 17:51:36.625722+00
429,passport,55,en,2026-01-09 17:51:38.489134+00
430,ticket,52,en,2026-01-09 17:51:40.628258+00
431,receipt,54,en,2026-01-09 17:51:42.520846+00
432,invoice,57,en,2026-01-09 17:51:44.412642+00
433,contract,53,en,2026-01-09 17:51:46.295545+00
434,letter,40,en,2026-01-09 17:51:48.259159+00
435,postcard,65,en,2026-01-09 17:51:50.318334+00
436,envelope,53,en,2026-01-09 17:51:52.231275+00
437,package,61,en,2026-01-09 17:51:54.115796+00
438,suitcase,57,en,2026-01-09 17:51:56.129736+00
439,backpack,59,en,2026-01-09 17:51:58.107182+00
440,purse,60,en,2026-01-09 17:51:59.898187+00
441,wallet,53,en,2026-01-09 17:52:01.977463+00
442,briefcase,62,en,2026-01-09 17:52:03.84033+00
443,luggage,56,en,2026-01-09 17:52:05.798589+00
444,barrel,54,en,2026-01-09 17:52:07.92041+00
445,kettle,43,en,2026-01-09 17:52:10.047482+00
446,spatula,57,en,2026-01-09 17:52:12.177764+00
447,ladle,50,en,2026-01-09 17:52:14.225615+00
448,whisk,63,en,2026-01-09 17:52:16.144997+00
449,grater,50,en,2026-01-09 17:52:17.914634+00
450,peeler,43,en,2026-01-09 17:52:19.959948+00
451,strainer,54,en,2026-01-09 17:52:22.355731+00
452,colander,64,en,2026-01-09 17:52:24.373813+00
453,cutting,58,en,2026-01-09 17:52:26.439905+00
454,rolling,59,en,2026-01-09 17:52:28.668467+00
455,timer,55,en,2026-01-09 17:52:30.667345+00
456,apron,58,en,2026-01-09 17:52:32.624028+00
457,napkin,56,en,2026-01-09 17:52:34.682513+00
458,placemat,60,en,2026-01-09 17:52:36.734004+00
459,saxophone,62,en,2026-01-09 17:52:38.784449+00
460,accordion,58,en,2026-01-09 17:52:41.047109+00
461,strawberry,61,en,2026-01-09 17:52:43.191476+00
462,watermelon,62,en,2026-01-09 17:52:45.212457+00
463,pineapple,54,en,2026-01-09 17:52:47.572908+00
464,chopsticks,64,en,2026-01-09 17:52:49.657378+00
465,refrigerator,57,en,2026-01-09 17:52:51.804648+00
466,washing,64,en,2026-01-09 17:52:54.917627+00
467,dryer,51,en,2026-01-09 17:52:58.462094+00
468,paintbrush,70,en,2026-01-09 17:53:00.545354+00
469,sculpture,65,en,2026-01-09 17:53:02.941038+00
470,certificate,54,en,2026-01-09 17:53:05.021038+00
471,binoculars,71,en,2026-01-09 17:53:07.120995+00
472,calculator,58,en,2026-01-09 17:53:09.201948+00
473,thermometer,48,en,2026-01-09 17:53:11.285531+00
474,barometer,55,en,2026-01-09 17:53:13.244608+00
475,protractor,51,en,2026-01-09 17:53:15.11997+00
476,stethoscope,53,en,2026-01-09 17:53:17.039582+00
477,spaceship,59,en,2026-01-09 17:53:18.864261+00
478,astronaut,54,en,2026-01-09 17:53:20.852219+00
479,helicopter,63,en,2026-01-09 17:53:22.618954+00
480,motorcycle,63,en,2026-01-09 17:53:24.633282+00
481,skateboard,64,en,2026-01-09 17:53:26.624041+00
482,ambulance,65,en,2026-01-09 17:53:28.651138+00
483,firetruck,65,en,2026-01-09 17:53:30.564917+00
484,limousine,62,en,2026-01-09 17:53:32.862839+00
485,bulldozer,67,en,2026-01-09 17:53:34.686005+00
486,excavator,62,en,2026-01-09 17:53:37.105973+00
487,snowplow,58,en,2026-01-09 17:53:39.481307+00
488,garbage,53,en,2026-01-09 17:53:41.52199+00
489,mixer,61,en,2026-01-09 17:53:43.591212+00
490,electrician,57,en,2026-01-09 17:53:45.814111+00
491,veterinarian,52,en,2026-01-09 17:53:47.887402+00
492,psychologist,69,en,2026-01-09 17:53:49.935364+00
493,photographer,59,en,2026-01-09 17:53:52.734783+00
494,entrepreneur,49,en,2026-01-09 17:53:54.48252+00
495,coordinator,58,en,2026-01-09 17:53:56.375022+00
496,waterfall,58,en,2026-01-09 17:53:58.178914+00
497,gymnastics,67,en,2026-01-09 17:54:00.149456+00
498,headphones,58,en,2026-01-09 17:54:02.355911+00
499,tablecloth,60,en,2026-01-09 17:54:04.222271+00
500,measuring,68,en,2026-01-09 17:54:06.47751+00
501,sol,49,es,2026-01-09 17:54:08.493658+00
502,mar,51,es,2026-01-09 17:54:10.391113+00
503,pan,52,es,2026-01-09 17:54:12.181144+00
504,ojo,41,es,2026-01-09 17:54:13.841072+00
505,pie,53,es,2026-01-09 17:54:15.637726+00
506,luz,63,es,2026-01-09 17:54:17.796218+00
507,sal,49,es,2026-01-09 17:54:19.630097+00
508,rio,49,es,2026-01-09 17:54:21.510505+00
509,oro,33,es,2026-01-09 17:54:23.617673+00
